"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime"
"1",300000000,1820052471,"Avengers: Infinity War","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",406.526722,4001,"2018-04-25","Released",149
"2",220000000,1519557910,"The Avengers","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",77.312316,14875,"2012-04-25","Released",143
"3",175000000,880166924,"Spider-Man: Homecoming","Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",50.168563,7488,"2017-07-05","Released",133
"4",280000000,1405403694,"Avengers: Age of Ultron","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",48.780669,9349,"2015-04-22","Released",141
"5",240000000,1153304495,"Captain America: Civil War","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",42.470447,10064,"2016-04-27","Released",147
"6",140000000,585174222,"Iron Man","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",41.083504,11537,"2008-04-30","Released",126
"7",200000000,623933331,"Iron Man 2","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",29.221762,8976,"2010-04-28","Released",124
"8",0,0,"Untitled Avengers Movie","The turning point of the beloved heroes' epic journey, as they come to truly understand how fragile their reality is and the sacrifices that must be made to uphold it.",25.54824,9,"2019-04-24","In Production",NA
"9",200000000,1215439994,"Iron Man 3","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",25.066382,10938,"2013-04-18","Released",130
"10",150000000,163712074,"The Incredible Hulk","Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",20.446052,4301,"2008-06-12","Released",114
"11",65000000,84785914,"Zodiac","The true story of the investigation of the ""Zodiac Killer"", a serial killer who terrified the San Francisco Bay Area, taunting police with his ciphers and letters.  The case becomes an obsession for four men as their lives and careers are built and destroyed by the endless trail of clues.",17.419927,2969,"2007-03-02","Released",157
"12",60000000,102367405,"U.S. Marshals","U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",16.824587,509,"1998-03-06","Released",131
"13",125000000,334615000,"Sherlock Holmes: A Game of Shadows","There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",14.259306,5034,"2011-11-22","Released",129
"14",90000000,524028679,"Sherlock Holmes","Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",13.541866,7164,"2009-12-23","Released",128
"15",50000000,83719388,"The Judge","A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",13.337643,1821,"2014-10-08","Released",141
"16",34000000,50282766,"Natural Born Killers","Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.",13.175352,1237,"1994-08-25","Released",119
"17",0,38934048,"Weird Science","Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.",12.449699,474,"1985-08-01","Released",94
"18",92000000,188072649,"Tropic Thunder","Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",11.987573,2254,"2008-08-09","Released",107
"19",15000000,15785148,"Kiss Kiss Bang Bang","A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...",10.873771,1136,"2005-09-05","Released",103
"20",40000000,141591324,"Gothika","After a car crash, a criminal psychologist (Halle Berry) comes to, only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband -- but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",10.697316,869,"2003-11-21","Released",98
